2023-07-25 18:09:06.213413>> Zones by Family
us-east-1-wl1-chi-wlz-1             --           --          --          --  
us-east-1-wl1-clt-wlz-1             --           --          --          --  
us-east-1-wl1-dfw-wlz-1             --           --          --          --  
us-east-1-wl1-dtw-wlz-1             --           --          --          --  
us-east-1-wl1-iah-wlz-1             --           --          --          --  
us-east-1-wl1-mia-wlz-1             --           --          --          --  
us-east-1-wl1-msp-wlz-1             --           --          --          --  
us-east-1-wl1-nyc-wlz-1             --           --          --          --  
us-east-1-wl1-tpa-wlz-1             --           --          --          --  
us-east-1-wl1-was-wlz-1             --           --          --          --  
us-west-2-den-1a                    --            X           X           X  
us-west-2-las-1a                    --            X           X           X  
us-west-2-lax-1a                     X           --          --          --  
us-west-2-lax-1b                     X           --          --          --  
us-west-2-pdx-1a                    --            X           X           X  
us-west-2-phx-1a                    --           --           X          --  
us-west-2-sea-1a                    --            X           X           X  
us-west-2-wl1-den-wlz-1             --           --          --          --  
us-west-2-wl1-las-wlz-1             --           --          --          --  
us-west-2-wl1-lax-wlz-1             --           --          --          --  
us-west-2-wl1-phx-wlz-1             --           --          --          --  
us-west-2-wl1-sea-wlz-1             --           --          --          --  
us-west-2-wl1-sfo-wlz-1             --           --          --          --  

                             g4dn.12xlarge g4dn.16xlarge g4dn.2xlarge  \
zone                                                                    
af-south-1-los-1a                       --            --            X   
ap-northeast-1-tpe-1a                   --            --            X   
ap-northeast-1-wl1-kix-wlz-1            --            --           --   
ap-northeast-1-wl1-nrt-wlz-1            --            --           --   
ap-northeast-2-wl1-cjj-wlz-1            --            --           --   
ap-northeast-2-wl1-sel-wlz-1            --            --           --   
ap-south-1-ccu-1a                       --            --            X   
ap-south-1-del-1a                       --            --            X   
ap-southeast-1-bkk-1a                   --            --            X   
ap-southeast-1-mnl-1a                   --            --            X   
ap-southeast-2-akl-1a                   --            --            X   
ap-southeast-2-per-1a                   --            --            X   
ca-central-1-wl1-yto-wlz-1              --            --           --   
eu-central-1-ham-1a                     --            --            X   
eu-central-1-waw-1a                     --            --            X   
eu-central-1-wl1-ber-wlz-1              --            --           --   
eu-central-1-wl1-dtm-wlz-1              --            --           --   
